city,country,collection_time,latitude,longitude,aqi,aqi_category,pm2_5,pm10,no2,o3,co,temperature_c,humidity_percent,pressure_hpa,wind_speed_ms
London,GB,2026-07-30T15:39:05.094096+00:00,51.5074,-0.1278,2,Fair,6.21,14.71,5.14,88.45,96.55,27.75,45,1014,1.79
Paris,FR,2026-07-30T15:39:05.179592+00:00,48.8566,2.3522,3,Moderate,8.87,9.97,0.76,106.3,116.18,30.24,51,1015,3.01
Berlin,DE,2026-07-30T15:39:05.263652+00:00,52.52,13.405,3,Moderate,4.79,5.53,3.0,123.64,101.6,37.23,21,1009,3.58
Madrid,ES,2026-07-30T15:39:05.353611+00:00,40.4168,-3.7038,3,Moderate,18.97,77.85,0.2,86.31,91.82,37.48,17,1015,0.89
Rome,IT,2026-07-30T15:39:05.443955+00:00,41.9028,12.4964,3,Moderate,11.66,22.97,0.35,117.59,170.53,36.16,33,1015,2.68
Amsterdam,NL,2026-07-30T15:39:05.539197+00:00,52.3676,4.9041,3,Moderate,10.96,14.68,7.01,102.66,124.39,24.26,64,1015,0.89
Brussels,BE,2026-07-30T15:39:05.631234+00:00,50.8503,4.3517,2,Fair,9.24,11.28,1.22,93.19,107.92,22.23,83,1016,4.74
Vienna,AT,2026-07-30T15:39:05.723319+00:00,48.2082,16.3738,3,Moderate,7.62,8.37,2.82,109.22,106.03,31.0,39,1016,0.93
Copenhagen,DK,2026-07-30T15:39:05.812577+00:00,55.6761,12.5683,3,Moderate,10.43,11.48,6.38,123.94,133.38,28.97,50,1011,4.73
Prague,CZ,2026-07-30T15:39:05.908949+00:00,50.0755,14.4378,3,Moderate,3.72,4.37,1.66,104.94,91.82,36.45,21,1014,2.68
