city,country,collected_at_utc,temperature_c,humidity_percent,pressure_hpa,wind_speed_ms,aqi,pm2_5,pm10,no2,o3,co
London,GB,2026-07-30T15:39:05.094096+00:00,27.75,45,1014,1.79,2,6.21,14.71,5.14,88.45,96.55
Paris,FR,2026-07-30T15:39:05.179592+00:00,30.24,51,1015,3.01,3,8.87,9.97,0.76,106.3,116.18
Berlin,DE,2026-07-30T15:39:05.263652+00:00,37.23,21,1009,3.58,3,4.79,5.53,3.0,123.64,101.6
Madrid,ES,2026-07-30T15:39:05.353611+00:00,37.48,17,1015,0.89,3,18.97,77.85,0.2,86.31,91.82
Rome,IT,2026-07-30T15:39:05.443955+00:00,36.16,33,1015,2.68,3,11.66,22.97,0.35,117.59,170.53
Amsterdam,NL,2026-07-30T15:39:05.539197+00:00,24.26,64,1015,0.89,3,10.96,14.68,7.01,102.66,124.39
Brussels,BE,2026-07-30T15:39:05.631234+00:00,22.23,83,1016,4.74,2,9.24,11.28,1.22,93.19,107.92
Vienna,AT,2026-07-30T15:39:05.723319+00:00,31.0,39,1016,0.93,3,7.62,8.37,2.82,109.22,106.03
Copenhagen,DK,2026-07-30T15:39:05.812577+00:00,28.97,50,1011,4.73,3,10.43,11.48,6.38,123.94,133.38
Prague,CZ,2026-07-30T15:39:05.908949+00:00,36.45,21,1014,2.68,3,3.72,4.37,1.66,104.94,91.82
